"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"KCNN3","205903_s_at",0.0090106,6.1e-05,5.3,1.96924,1.57461059,"KCNN3","potassium calcium-activated channel subfamily N member 3","KCNN3"
"THAP2","244499_at",0.0092241,6.26e-05,-5.29,1.94454,-1.68304396,"THAP2","THAP domain containing 2","THAP2"
"LMNA","203411_s_at",0.0092511,6.32e-05,-5.28,1.93521,-0.74068448,"LMNA","lamin A/C","LMNA"
"CRBN","222533_at",0.0092511,6.33e-05,5.28,1.93319,0.78516948,"CRBN","cereblon","CRBN"
"CTNNA1","200764_s_at",0.0092511,6.35e-05,-5.28,1.93162,-0.70745708,"CTNNA1","catenin alpha 1","CTNNA1"
"LUM","229554_at",0.0092511,6.36e-05,5.28,1.92939,2.28160116,"LUM","lumican","LUM"
"KIFC3","1559759_at",0.0092511,6.39e-05,-5.28,1.92564,-1.12775374,"KIFC3","kinesin family member C3","KIFC3"
"LOC105379045","236836_at",0.0092511,6.43e-05,-5.28,1.91918,-0.90930108,"LOC105379045","uncharacterized LOC105379045","LOC105379045"
"EFTUD2","222398_s_at",0.0092511,6.43e-05,-5.28,1.91912,-1.0557051,"EFTUD2","elongation factor Tu GTP binding domain containing 2","EFTUD2"
"LOC101927338","243428_at",0.009315,6.49e-05,-5.27,1.91012,-1.73680792,"LOC101927338///KCNQ1OT1","uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)","LOC101927338"
"SMIM10L2A","238697_at",0.0094062,6.59e-05,5.26,1.89596,1.50147863,"SMIM10L2A","small integral membrane protein 10 like 2A","SMIM10L2A"
"OIP5-AS1","231808_at",0.0094357,6.63e-05,5.26,1.89053,1.27412458,"OIP5-AS1","OIP5 antisense RNA 1","OIP5-AS1"
"NSF","1566785_x_at",0.0096753,6.9e-05,-5.24,1.85215,-1.09743601,"NSF","N-ethylmaleimide sensitive factor, vesicle fusing ATPase","NSF"
"CDC42BPA","215296_at",0.0097628,6.99e-05,-5.23,1.83996,-1.36604136,"CDC42BPA","CDC42 binding protein kinase alpha","CDC42BPA"
"BICC1","213429_at",0.0097628,7e-05,5.23,1.83872,1.07322478,"BICC1","BicC family RNA binding protein 1","BICC1"
"MAPK1","224620_at",0.0097628,7.04e-05,5.23,1.83399,1.03032619,"MAPK1","mitogen-activated protein kinase 1","MAPK1"
"MEOX2","206201_s_at",0.0098992,7.18e-05,5.22,1.81413,1.80209907,"MEOX2","mesenchyme homeobox 2","MEOX2"
"ZFAND6","239757_at",0.0099241,7.26e-05,-5.22,1.80478,-2.27496072,"ZFAND6","zinc finger AN1-type containing 6","ZFAND6"
"TCF20","212931_at",0.0099241,7.29e-05,-5.21,1.80013,-0.97744342,"TCF20","transcription factor 20","TCF20"
"PLCB1","215687_x_at",0.0099241,7.34e-05,5.21,1.79381,1.08149421,"PLCB1","phospholipase C beta 1","PLCB1"
"ASAP1-IT1","220694_at",0.0099241,7.35e-05,-5.21,1.79259,-1.11093636,"ASAP1-IT1","ASAP1 intronic transcript 1","ASAP1-IT1"
"KDM4C","1556493_a_at",0.0099241,7.37e-05,-5.21,1.78992,-2.4170965,"KDM4C","lysine demethylase 4C","KDM4C"
"ZNF570","1552562_at",0.0099241,7.4e-05,5.21,1.78634,0.80597629,"ZNF570","zinc finger protein 570","ZNF570"
"PDE5A","206757_at",0.0099241,7.42e-05,5.21,1.78336,1.64165698,"PDE5A","phosphodiesterase 5A","PDE5A"
"MIR100HG","225381_at",0.0099241,7.44e-05,5.2,1.7815,0.75034665,"MIR100HG","mir-100-let-7a-2 cluster host gene","MIR100HG"
"LINC00687","232836_at",0.0099241,7.46e-05,5.2,1.77875,1.64335887,"LINC00687","long intergenic non-protein coding RNA 687","LINC00687"
"WNK1","202940_at",0.0099241,7.51e-05,-5.2,1.77253,-0.83310066,"WNK1","WNK lysine deficient protein kinase 1","WNK1"
"PRKAR2A","204843_s_at",0.0099241,7.51e-05,-5.2,1.77211,-1.11169478,"PRKAR2A","protein kinase cAMP-dependent type II regulatory subunit alpha","PRKAR2A"
"PTPN21","226380_at",0.0099241,7.51e-05,5.2,1.77164,0.77958815,"PTPN21","protein tyrosine phosphatase, non-receptor type 21","PTPN21"
"E2F5","221586_s_at",0.0099638,7.56e-05,-5.2,1.76558,-1.91683607,"E2F5","E2F transcription factor 5","E2F5"
"TUBB3","202154_x_at",0.0099661,7.6e-05,-5.19,1.76081,-1.23158668,"TUBB3","tubulin beta 3 class III","TUBB3"
"SOX17","230943_at",0.0099831,7.63e-05,5.19,1.75693,1.16327193,"SOX17","SRY-box 17","SOX17"
"PYROXD1","231173_at",0.0099941,7.66e-05,-5.19,1.75363,-1.04580723,"PYROXD1","pyridine nucleotide-disulphide oxidoreductase domain 1","PYROXD1"
"TMEM140","218999_at",0.010027,7.7e-05,5.19,1.74826,1.38618482,"TMEM140","transmembrane protein 140","TMEM140"
"MEST","202016_at",0.0100939,7.79e-05,5.18,1.73748,1.55735335,"MEST","mesoderm specific transcript","MEST"
"RUNX2","232231_at",0.0101284,7.93e-05,5.17,1.72101,1.3031393,"RUNX2","runt related transcription factor 2","RUNX2"
"USP48","220078_at",0.0101284,7.94e-05,-5.17,1.71993,-1.01052337,"USP48","ubiquitin specific peptidase 48","USP48"
"ARRDC3","224797_at",0.0101284,7.94e-05,5.17,1.71993,1.6864717,"ARRDC3","arrestin domain containing 3","ARRDC3"
"LOC100996694","231347_at",0.0101284,7.95e-05,5.17,1.71868,1.80503168,"LOC100996694","uncharacterized LOC100996694","LOC100996694"
"ZBTB7A","213303_x_at",0.0101779,8e-05,5.17,1.71186,0.97325776,"ZBTB7A","zinc finger and BTB domain containing 7A","ZBTB7A"
"BRWD1","238890_at",0.0102179,8.06e-05,-5.17,1.70546,-1.22165942,"BRWD1","bromodomain and WD repeat domain containing 1","BRWD1"
"FCN3","205866_at",0.0102179,8.08e-05,-5.16,1.70327,-1.7728687,"FCN3","ficolin 3","FCN3"
"CATSPERG","234353_at",0.0102179,8.09e-05,5.16,1.70158,0.98969154,"CATSPERG","cation channel sperm associated auxiliary subunit gamma","CATSPERG"
"SULF1","212353_at",0.0103187,8.19e-05,5.16,1.6901,2.06341742,"SULF1","sulfatase 1","SULF1"
"MACF1","1553407_at",0.0103752,8.25e-05,-5.15,1.68275,-1.07844973,"MACF1","microtubule-actin crosslinking factor 1","MACF1"
"SERP1","235475_at",0.0103785,8.28e-05,5.15,1.68005,0.98696483,"SERP1","stress-associated endoplasmic reticulum protein 1","SERP1"
"DLG5","210469_at",0.0103785,8.32e-05,-5.15,1.67494,-1.42411516,"DLG5","discs large MAGUK scaffold protein 5","DLG5"
"VPS13D","220221_at",0.0103785,8.34e-05,-5.15,1.67312,-2.04819984,"VPS13D","vacuolar protein sorting 13 homolog D","VPS13D"
"IL2RA","211269_s_at",0.0103785,8.35e-05,5.15,1.67163,1.01995656,"IL2RA","interleukin 2 receptor subunit alpha","IL2RA"
"RAB18","239637_at",0.0105085,8.49e-05,-5.14,1.65641,-2.06592737,"RAB18","RAB18, member RAS oncogene family","RAB18"
"KLHL34","1553873_at",0.0106255,8.61e-05,5.13,1.64294,1.34414868,"KLHL34","kelch like family member 34","KLHL34"
"TMEM104","220097_s_at",0.01083,8.79e-05,-5.12,1.62275,-1.51899881,"TMEM104","transmembrane protein 104","TMEM104"
"DGCR12","1566236_at",0.0108386,8.82e-05,-5.12,1.61988,-1.47687482,"DGCR12","DiGeorge syndrome critical region gene 12 (non-protein coding)","DGCR12"
"CACTIN","214892_x_at",0.0108693,8.93e-05,-5.12,1.60873,-1.1977022,"CACTIN","cactin, spliceosome C complex subunit","CACTIN"
"PLEK2","218644_at",0.0108699,8.96e-05,5.11,1.60564,1.04603298,"PLEK2","pleckstrin 2","PLEK2"
"SPTB","214145_s_at",0.0108699,8.97e-05,-5.11,1.60446,-0.84636135,"SPTB","spectrin beta, erythrocytic","SPTB"
"TNFRSF10A","1552648_a_at",0.0109146,9.02e-05,-5.11,1.59848,-1.54969197,"TNFRSF10A","TNF receptor superfamily member 10a","TNFRSF10A"
"ASB8","218841_at",0.0109673,9.12e-05,5.11,1.58788,0.97145163,"ASB8","ankyrin repeat and SOCS box containing 8","ASB8"
"CFHR1","215388_s_at",0.0111496,9.37e-05,5.09,1.56229,1.66320251,"CFHR1///CFH","complement factor H related 1///complement factor H","CFHR1"
"SERPINA3","202376_at",0.0111893,9.43e-05,-5.09,1.55628,-2.65423119,"SERPINA3","serpin family A member 3","SERPINA3"
"PERP","240797_at",0.0112524,9.55e-05,5.08,1.54482,1.42959544,"PERP","PERP, TP53 apoptosis effector","PERP"
"CCDC144NL-AS1","229669_at",0.0112802,9.61e-05,5.08,1.53892,1.65413989,"CCDC144NL-AS1","CCDC144NL antisense RNA 1","CCDC144NL-AS1"
"ATXN7L3","224969_at",0.0112802,9.61e-05,-5.08,1.53841,-1.85425698,"ATXN7L3","ataxin 7 like 3","ATXN7L3"
"ADH4","223781_x_at",0.0113697,9.71e-05,-5.07,1.52889,-1.15031546,"ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide","ADH4"
"HIPK2","225116_at",0.0114281,9.79e-05,-5.07,1.52081,-1.67143521,"HIPK2","homeodomain interacting protein kinase 2","HIPK2"
"ZSCAN30","1557105_a_at",0.0114281,9.8e-05,-5.07,1.52,-1.90973265,"ZSCAN30","zinc finger and SCAN domain containing 30","ZSCAN30"
"CRISPLD1","223475_at",0.0114512,9.87e-05,5.07,1.51344,2.37579659,"CRISPLD1","cysteine rich secretory protein LCCL domain containing 1","CRISPLD1"
"CAMKK1","223460_at",0.0114512,9.92e-05,-5.06,1.50834,-0.80112933,"CAMKK1","calcium/calmodulin dependent protein kinase kinase 1","CAMKK1"
"PPP6R2","202792_s_at",0.0114512,1e-04,-5.06,1.49931,-0.73340969,"PPP6R2","protein phosphatase 6 regulatory subunit 2","PPP6R2"
"TRIM54","233669_s_at",0.0114512,1e-04,-5.06,1.49702,-0.80749133,"TRIM54","tripartite motif containing 54","TRIM54"
"COX11","203551_s_at",0.0116962,0.000104,5.04,1.46822,1.02819516,"COX11","COX11, cytochrome c oxidase copper chaperone","COX11"
"LOC101060835","211656_x_at",0.0117749,0.000105,5.04,1.45796,1.22411933,"LOC101060835///HLA-DQB1","HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1","LOC101060835"
"LOC102724870","224375_at",0.0117775,0.000105,-5.04,1.4558,-1.33358615,"LOC102724870","uncharacterized LOC102724870","LOC102724870"
"ITGBL1","214927_at",0.0117954,0.000105,5.04,1.45106,1.63195565,"ITGBL1","integrin subunit beta like 1","ITGBL1"
"TNNT1","213201_s_at",0.0117954,0.000105,5.03,1.45048,1.40033153,"TNNT1","troponin T1, slow skeletal type","TNNT1"
"LOC643733","240890_at",0.0119602,0.000108,5.03,1.43216,1.25429227,"LOC643733","caspase 4, apoptosis-related cysteine peptidase pseudogene","LOC643733"
"LOC114224","223797_at",0.0119602,0.000108,-5.03,1.43155,-1.09077559,"LOC114224","uncharacterized LOC114224","LOC114224"
"GPALPP1","229078_s_at",0.012259,0.000112,5.01,1.3963,0.70429598,"GPALPP1","GPALPP motifs containing 1","GPALPP1"
"JMJD4","222671_s_at",0.012259,0.000112,-5.01,1.39478,-2.07817215,"JMJD4","jumonji domain containing 4","JMJD4"
"MIR6080","212700_x_at",0.0123073,0.000113,-5,1.38916,-1.2347024,"MIR6080///MIR4315-1///MIR4315-2///PLEKHM1P1///PLEKHM1","microRNA 6080///microRNA 4315-1///microRNA 4315-2///pleckstrin homology and RUN domain containing M1 pseudogene 1///pleckstrin homology and RUN domain containing M1","MIR6080"
"F2RL2","230147_at",0.0123826,0.000113,5,1.38134,2.48079858,"F2RL2","coagulation factor II thrombin receptor like 2","F2RL2"
"DIS3L2","242539_at",0.0124723,0.000115,-4.99,1.36953,-1.04470696,"DIS3L2","DIS3 like 3'-5' exoribonuclease 2","DIS3L2"
"6-Mar","215423_at",0.0124723,0.000115,-4.99,1.36895,-1.65950135,"6-Mar","membrane associated ring-CH-type finger 6","6-Mar"
"CTIF","204302_s_at",0.0124723,0.000115,-4.99,1.36712,-1.21183158,"CTIF","cap binding complex dependent translation initiation factor","CTIF"
"HMOX2","218120_s_at",0.012643,0.000117,-4.98,1.34863,-0.93062523,"HMOX2","heme oxygenase 2","HMOX2"
"CD2","205831_at",0.0126432,0.000118,4.98,1.34503,0.9553076,"CD2","CD2 molecule","CD2"
"MEF2D","203004_s_at",0.0126432,0.000118,-4.98,1.34489,-1.02639671,"MEF2D","myocyte enhancer factor 2D","MEF2D"
"SBSN","235272_at",0.0128366,0.00012,-4.97,1.32817,-1.40103357,"SBSN","suprabasin","SBSN"
"AEBP1","201792_at",0.0128366,0.00012,4.97,1.32452,1.43520821,"AEBP1","AE binding protein 1","AEBP1"
"POSTN","1555778_a_at",0.0128366,0.000121,4.97,1.3193,2.45340852,"POSTN","periostin","POSTN"
"CNTN4","229084_at",0.012864,0.000122,4.97,1.3131,1.80940227,"CNTN4","contactin 4","CNTN4"
"ISLR","207191_s_at",0.0131683,0.000125,4.95,1.28694,1.52532392,"ISLR","immunoglobulin superfamily containing leucine rich repeat","ISLR"
"MIPEPP3","243760_at",0.0131683,0.000125,-4.95,1.28611,-1.23338107,"MIPEPP3","mitochondrial intermediate peptidase pseudogene 3","MIPEPP3"
"FGD2","1565752_at",0.013194,0.000126,-4.95,1.28065,-1.5513259,"FGD2","FYVE, RhoGEF and PH domain containing 2","FGD2"
"PRKRA","237107_at",0.013194,0.000126,-4.95,1.27882,-1.10309577,"PRKRA","protein activator of interferon induced protein kinase EIF2AK2","PRKRA"
"DNAJC22","239065_at",0.0133053,0.000128,4.94,1.26906,1.38860099,"DNAJC22","DnaJ heat shock protein family (Hsp40) member C22","DNAJC22"
"NFATC2","224542_s_at",0.0133705,0.000129,4.94,1.25956,1.38867059,"NFATC2","nuclear factor of activated T-cells 2","NFATC2"
"PIK3C2A","241905_at",0.0133705,0.000129,-4.94,1.2595,-1.0266997,"PIK3C2A","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","PIK3C2A"
"LOC101927826","221945_at",0.0134037,0.00013,-4.93,1.25246,-1.50471476,"LOC101927826///FBXO41","uncharacterized LOC101927826///F-box protein 41","LOC101927826"
"LOC101930404","1559343_at",0.0134037,0.00013,-4.93,1.25179,-0.79900254,"LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW","uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)","LOC101930404"
"PLAT","201860_s_at",0.0134037,0.00013,4.93,1.2513,1.18817704,"PLAT","plasminogen activator, tissue type","PLAT"
"PLXDC2","238455_at",0.0134842,0.000131,4.93,1.24206,1.40311024,"PLXDC2","plexin domain containing 2","PLXDC2"
"CCNG2","202770_s_at",0.0136356,0.000135,4.92,1.21956,1.76244985,"CCNG2","cyclin G2","CCNG2"
"NRF1","243189_at",0.0136356,0.000135,-4.92,1.21882,-1.12253815,"NRF1","nuclear respiratory factor 1","NRF1"
"TRIL","205150_s_at",0.0136356,0.000135,4.92,1.21622,1.53857716,"TRIL","TLR4 interactor with leucine rich repeats","TRIL"
"HSPB2-C11orf52","238805_at",0.0136524,0.000136,-4.91,1.21095,-2.73212544,"HSPB2-C11orf52///C11orf52///HSPB2","HSPB2-C11orf52 readthrough (NMD candidate)///chromosome 11 open reading frame 52///heat shock protein family B (small) member 2","HSPB2-C11orf52"
"DMPK","217066_s_at",0.013695,0.000137,-4.91,1.2052,-0.93585261,"DMPK","dystrophia myotonica protein kinase","DMPK"
"LRRC70","238488_at",0.013695,0.000137,4.91,1.20279,1.93838131,"LRRC70///IPO11","leucine rich repeat containing 70///importin 11","LRRC70"
"BATF3","220358_at",0.0137275,0.000138,-4.91,1.19688,-1.41958876,"BATF3","basic leucine zipper ATF-like transcription factor 3","BATF3"
"SPRED2","212458_at",0.0137275,0.000138,4.91,1.19547,0.75752481,"SPRED2","sprouty related EVH1 domain containing 2","SPRED2"
"TAOK1","216310_at",0.0138734,0.00014,-4.9,1.18189,-1.91194654,"TAOK1","TAO kinase 1","TAOK1"
"CELF1","221743_at",0.0140127,0.000142,-4.89,1.16729,-0.69437353,"CELF1","CUGBP, Elav-like family member 1","CELF1"
"KANSL1L","231252_at",0.0140257,0.000143,-4.89,1.1647,-0.77789796,"KANSL1L","KAT8 regulatory NSL complex subunit 1 like","KANSL1L"
"DARS","201623_s_at",0.014057,0.000143,4.89,1.16089,0.75517068,"DARS","aspartyl-tRNA synthetase","DARS"
"MIR6758","213672_at",0.014155,0.000145,-4.88,1.1495,-2.09556743,"MIR6758///MARS","microRNA 6758///methionyl-tRNA synthetase","MIR6758"
"ARHGAP18","225173_at",0.014182,0.000146,4.88,1.14571,1.00198015,"ARHGAP18","Rho GTPase activating protein 18","ARHGAP18"
"LINC01278","216838_at",0.0142365,0.000146,-4.88,1.14038,-1.9845174,"LINC01278","long intergenic non-protein coding RNA 1278","LINC01278"
"BBOF1","220173_at",0.01424,0.000147,4.88,1.13678,0.79097436,"BBOF1","basal body orientation factor 1","BBOF1"
"SWI5","226027_at",0.0142679,0.000148,4.87,1.13283,0.68939374,"SWI5","SWI5 homologous recombination repair protein","SWI5"
"FAM20A","243221_at",0.0143881,0.00015,4.87,1.119,0.99465627,"FAM20A","family with sequence similarity 20 member A","FAM20A"
"KCNV1","215736_at",0.0143881,0.00015,-4.87,1.11875,-2.11090179,"KCNV1","potassium voltage-gated channel modifier subfamily V member 1","KCNV1"
"CCDC3","223316_at",0.0143881,0.00015,4.87,1.1179,1.23919186,"CCDC3","coiled-coil domain containing 3","CCDC3"
"GDPD5","213343_s_at",0.0143881,0.00015,4.87,1.11575,1.42602931,"GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","GDPD5"
"TNRC6C","233359_at",0.0144609,0.000151,-4.86,1.10884,-0.94992304,"TNRC6C","trinucleotide repeat containing 6C","TNRC6C"
"SORBS2","1558815_at",0.0145593,0.000153,-4.86,1.09823,-1.29325023,"SORBS2","sorbin and SH3 domain containing 2","SORBS2"
"OTUD7B","238994_at",0.0145593,0.000153,-4.86,1.09655,-1.22455074,"OTUD7B","OTU deubiquitinase 7B","OTUD7B"
"CYSLTR1","231747_at",0.0145593,0.000153,4.86,1.09572,1.0815541,"CYSLTR1","cysteinyl leukotriene receptor 1","CYSLTR1"
"RAB31","217762_s_at",0.0145593,0.000154,4.85,1.08958,0.91534846,"RAB31","RAB31, member RAS oncogene family","RAB31"
"PMS2P3","217488_x_at",0.0145593,0.000155,4.85,1.08532,1.04436533,"PMS2P3","PMS1 homolog 2, mismatch repair system component pseudogene 3","PMS2P3"
"CCDC91","1570571_at",0.0145593,0.000155,-4.85,1.08435,-1.21037971,"CCDC91","coiled-coil domain containing 91","CCDC91"
"USP19","214674_at",0.0147118,0.000157,-4.84,1.07285,-0.76311123,"USP19","ubiquitin specific peptidase 19","USP19"
"MZT2B","220720_x_at",0.0147508,0.000158,-4.84,1.06672,-1.1484006,"MZT2B","mitotic spindle organizing protein 2B","MZT2B"
"SLC12A4","209402_s_at",0.0147508,0.000158,-4.84,1.06548,-2.03954795,"SLC12A4","solute carrier family 12 member 4","SLC12A4"
"LPIN1","212272_at",0.014877,0.00016,4.83,1.05418,0.8249598,"LPIN1","lipin 1","LPIN1"
"TTN","208195_at",0.014958,0.000162,-4.83,1.04581,-0.6946047,"TTN","titin","TTN"
"USP31","227256_at",0.0150342,0.000163,-4.83,1.03849,-1.09549135,"USP31","ubiquitin specific peptidase 31","USP31"
"FAM188A","218297_at",0.0150342,0.000163,4.83,1.03779,1.52326643,"FAM188A","family with sequence similarity 188 member A","FAM188A"
"RABGAP1L","213982_s_at",0.0150914,0.000164,4.82,1.03259,0.99017306,"RABGAP1L","RAB GTPase activating protein 1 like","RABGAP1L"
"CYTH1","202879_s_at",0.0150996,0.000164,-4.82,1.03048,-1.41613658,"CYTH1","cytohesin 1","CYTH1"
"TMOD1","203662_s_at",0.0151741,0.000165,-4.82,1.02422,-0.74541488,"TMOD1","tropomodulin 1","TMOD1"
"CENPA","210821_x_at",0.0151923,0.000166,4.82,1.0215,1.82005482,"CENPA","centromere protein A","CENPA"
"YY1AP1","217836_s_at",0.0152596,0.000167,-4.81,1.01413,-0.83221638,"YY1AP1","YY1 associated protein 1","YY1AP1"
"CHMP5","219356_s_at",0.0153045,0.000169,4.81,1.00643,0.74501189,"CHMP5","charged multivesicular body protein 5","CHMP5"
"PRDM1","228964_at",0.0153045,0.000169,4.81,1.00628,0.89679427,"PRDM1","PR/SET domain 1","PRDM1"
"PCDH19","227282_at",0.0153045,0.000169,4.81,1.00516,2.20092093,"PCDH19","protocadherin 19","PCDH19"
"SERPINE2","212190_at",0.0153408,0.000169,4.81,1.00122,1.1624722,"SERPINE2","serpin family E member 2","SERPINE2"
"ZNF721","215978_x_at",0.0153978,0.00017,-4.81,0.99614,-0.85319454,"ZNF721","zinc finger protein 721","ZNF721"
"ZNF300","228144_at",0.0154142,0.000171,4.8,0.99356,0.79652111,"ZNF300","zinc finger protein 300","ZNF300"
"ITGA7","216331_at",0.0154259,0.000172,-4.8,0.98972,-0.76033539,"ITGA7","integrin subunit alpha 7","ITGA7"
"ZNF385B","1555801_s_at",0.0154566,0.000172,4.8,0.98627,3.05257817,"ZNF385B","zinc finger protein 385B","ZNF385B"
"IFI44","214453_s_at",0.0154628,0.000173,4.8,0.98433,0.99802403,"IFI44","interferon induced protein 44","IFI44"
"GLYR1","212414_s_at",0.015491,0.000173,4.8,0.9795,1.3559266,"GLYR1///SEPT6","glyoxylate reductase 1 homolog///septin 6","GLYR1"
"FXR2","35265_at",0.0155473,0.000174,-4.79,0.97451,-0.66701967,"FXR2","FMR1 autosomal homolog 2","FXR2"
"LPAR4","206960_at",0.0156141,0.000175,4.79,0.96872,1.21461896,"LPAR4","lysophosphatidic acid receptor 4","LPAR4"
"LARP4B","208953_at",0.0156141,0.000176,-4.79,0.96736,-0.81103976,"LARP4B","La ribonucleoprotein domain family member 4B","LARP4B"
"ENPP2","210839_s_at",0.0156294,0.000176,4.79,0.96489,1.06012024,"ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2","ENPP2"
"CP","204846_at",0.0157032,0.000178,4.78,0.95582,1.3028561,"CP","ceruloplasmin (ferroxidase)","CP"
"GATM","216733_s_at",0.0157296,0.000178,4.78,0.95267,1.92321942,"GATM","glycine amidinotransferase","GATM"
"ABI3BP","223395_at",0.0157296,0.000179,4.78,0.95064,1.32106698,"ABI3BP","ABI family member 3 binding protein","ABI3BP"
"SLC30A6","243643_x_at",0.0157296,0.000179,-4.78,0.94964,-0.65969068,"SLC30A6","solute carrier family 30 member 6","SLC30A6"
"MDK","209035_at",0.0157804,0.00018,4.78,0.94506,2.29187827,"MDK","midkine (neurite growth-promoting factor 2)","MDK"
"UBE2D3","240383_at",0.0157851,0.00018,-4.78,0.94326,-1.36992984,"UBE2D3","ubiquitin conjugating enzyme E2 D3","UBE2D3"
"SGCE","204688_at",0.0158675,0.000182,4.77,0.93569,0.85583164,"SGCE","sarcoglycan epsilon","SGCE"
"SENP3-EIF4A1","215113_s_at",0.0158675,0.000182,-4.77,0.93377,-0.96017139,"SENP3-EIF4A1///SENP3","SENP3-EIF4A1 readthrough (NMD candidate)///SUMO1/sentrin/SMT3 specific peptidase 3","SENP3-EIF4A1"
"ZNF264","1558698_at",0.0159735,0.000183,4.77,0.92594,1.8988835,"ZNF264","zinc finger protein 264","ZNF264"
"ANGPTL4","221009_s_at",0.0159761,0.000184,-4.77,0.92428,-2.19167932,"ANGPTL4","angiopoietin like 4","ANGPTL4"
"SMARCA4","208794_s_at",0.0160435,0.000186,-4.76,0.91147,-0.96238274,"SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","SMARCA4"
"HUS1","204883_s_at",0.0161127,0.000188,-4.76,0.90124,-0.98083986,"HUS1","HUS1 checkpoint clamp component","HUS1"
"COPZ2","219561_at",0.0161389,0.000189,4.76,0.89674,0.99436486,"COPZ2","coatomer protein complex subunit zeta 2","COPZ2"
"NCS1","222570_at",0.0162389,0.000191,-4.75,0.88941,-1.84580723,"NCS1","neuronal calcium sensor 1","NCS1"
"FURIN","201945_at",0.0163135,0.000193,-4.75,0.87916,-1.27188232,"FURIN","furin, paired basic amino acid cleaving enzyme","FURIN"
